Name,Start Time (UTC),End Time (UTC),Affiliation,Website/Primary URL,Notes
TrotCon Online 2: Snow Day,2020-12-04,2020-12-06,TrotCon,https://trotcononline.net/,
Ponyville Ciderfest 2020,2020-11-06,2020-11-08,Ponyville Ciderfest,https://ponyvilleciderfest.com/,
Everfree Encore Online,2020-11-06,2020-11-07,Everfree Encore,https://everfree-encore.eu/,
UK PonyCONLINE: Britannia's Spooky Sleepover,2020-10-10 10:00,2020-10-11 20:00,UK PonyCon,https://online.ukponycon.co.uk/,
Burning Mare 3: Pony Music Machine,2020-09-25 18:45,2020-09-27 07:45,Burning Mare Music Festival,https://twitter.com/BurningMare,End time is estimated because only start times of sets are given
PonyFest Online 4.0,2020-09-19 14:00,2020-09-20 06:30,PonyFest Online,https://ponyfest.horse/,
"""'All Fall Down Go Boom': An MLP Fanfic"" and Directors Roundtable",2020-08-08 22:00,2020-08-09 00:15,Everfree Northwest,https://everfreenw.com/,End time is approximate based on Twitter posts and YouTube stream
GalaConline,2020-08-01 11:00,2020-08-02 00:15,GalaCon,https://online.galacon.eu/,End time is approximate based on Twitter posts and YouTube stream
TrotCon Online,2020-07-17 21:00,2020-07-20 07:45,TrotCon,https://trotcononline.net/,Originally scheduled to end at 2020-07-19 22:00 but was significantly extended; end time is approximate based on Discord chat
Whinny City Pony Con 2020,2020-07-03 17:00,2020-07-05 23:00,Whinny City Pony Con,https://whinnycity.com/,
EuroPon,2020-07-03 11:30,2020-07-04 23:00,EuroPon,https://twitter.com/PonEuro,
Burning Mare II: Electric Scootaloo,2020-06-27 16:00,2020-06-29 05:00,Burning Mare Music Festival,https://twitter.com/BurningMare,
Brony Bash Online,2020-06-19 16:00,2020-06-21 10:00,Brony Bash Online,https://bronybash.online/,End time is approximate based on closing announcements on CyTube
Coltchella 2 Rewind,2020-06-13 19:00,2020-06-14 04:30,HarmonyCon,https://twitter.com/HarmonyPonyCon,Using Twitter profile as the primary URL because the announcements and information have been posted there
UK PonyCONLINE: Britannia's Birthday Bash,2020-06-13 10:00,2020-06-13 22:00,UK PonyCon,https://online.ukponycon.co.uk/,
SLPonyCon,2020-06-01 18:00,2020-07-01 03:00,SLPonyCon,https://www.slponycon.com/,
BatCon Online,2020-06-01 14:00,2020-06-02 04:30,BatCon Online,https://batcononline.weebly.com/,Canceled; end time listed here is the the originally planned start of closing ceremonies as no actual end time for that was given; Twitter account @BatconOnline
PonyFest Online 3.0,2020-05-30 09:00,2020-05-31 08:00,PonyFest Online,https://ponyfest.horse/,
Quantum SEAPonyCon,2020-05-24 04:00,2020-05-24 19:40,SEAPonyCon,https://seaponycon.com/,End time is approximate based on Twitter posts and Twitch stream.
Ponies Online,2020-05-23 14:00,2020-05-24 14:00,Ponies Online,https://poniesonline.org/,
Burning Mare Music Festival,2020-05-16 18:00,2020-05-18 06:00,Burning Mare Music Festival,https://twitter.com/BurningMare,
BABSConline,2020-05-09 02:00,2020-05-10 07:00,BABSCon,https://online.babscon.com/,
Midair Pony Fair,2020-05-01 20:45,2020-05-02 21:15,Midair Pony Fair,https://midairponyfair.com/,Using opening and closing ceremonies for start and end.
PonyFest Online 2.0,2020-04-25 14:00,2020-04-26 07:00,PonyFest Online,https://ponyfest.horse/,
Trot OnLine,2020-04-04 07:30,2020-04-04 13:30,AliCon,https://www.aliconmlp.com/,
PonyFest Online 1.0,2020-03-28 14:00,2020-03-29 07:00,PonyFest Online,https://ponyfest.horse/,Twitter account @PonyFestOnline which isn't linked from the website.
